instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
247,2011-09-04,3,0,9,0,Monday,0,Clear,26.040016,0.665429,3032.56368992726,0.206467,4940
248,2011-09-05,3,0,9,1,Tuesday,0,Few clouds,24.319984,0.625646,3903.23850425917,0.212696,3351
249,2011-09-06,3,0,9,0,Wednesday,1,Partialy cloudy,17.92,0.5152,6188.85435463417,0.343943,2710
250,2011-09-07,3,0,9,0,Thursday,1,Partialy cloudy,20.760016,0.544229,7073.50348691119,0.0970208,1996
251,2011-09-08,3,0,9,0,Friday,1,Partialy cloudy,22.427824,0.555361,7793.04746725799,0.192748,1842
252,2011-09-09,3,0,9,0,Saturday,1,Few clouds,23.2,0.578946,6500.47026482905,0.124379,3544
253,2011-09-10,3,0,9,0,Sunday,0,Clear,23.68,0.607962,3227.81994338379,0.153608,5345
254,2011-09-11,3,0,9,0,Monday,0,Clear,23.359984,0.609229,2595.28158400879,0.115054,5046
255,2011-09-12,3,0,9,0,Tuesday,1,Clear,22.928704,0.60213,2295.4145372515,0.088913,4713
256,2011-09-13,3,0,9,0,Wednesday,1,Clear,23.239984,0.603554,2577.14868164063,0.141804,4763
257,2011-09-14,3,0,9,0,Thursday,1,Clear,24.319984,0.6269,2361.22822708859,0.1673,4785
258,2011-09-15,3,0,9,0,Friday,1,Few clouds,19.72,0.553671,2529.26347643604,0.271146,3659
259,2011-09-16,3,0,9,0,Saturday,1,Few clouds,14.520016,0.461475,1215.16545527723,0.164183,4760
260,2011-09-17,3,0,9,0,Sunday,0,Few clouds,15.600016,0.478512,2662.58372458733,0.189675,4511
261,2011-09-18,3,0,9,0,Monday,0,Clear,16.36,0.490537,2333.13150625,0.178483,4274
262,2011-09-19,3,0,9,0,Tuesday,1,Few clouds,18.360016,0.529675,2266.7121,0.151742,4539
263,2011-09-20,3,0,9,0,Wednesday,1,Few clouds,18.960016,0.532217,6031.09986877441,0.134954,3641
264,2011-09-21,3,0,9,0,Thursday,1,Few clouds,20.56,0.550533,6561,0.0964042,4352
265,2011-09-22,3,0,9,0,Friday,1,Few clouds,22.159984,0.554963,6621.95147555827,0.128125,4795
266,2011-09-23,4,0,9,0,Saturday,1,Few clouds,21.240016,0.522125,8944.54884414062,0.0783667,2395
267,2011-09-24,4,0,9,0,Sunday,0,Few clouds,21.120016,0.564412,5533.96508789063,0.0783833,5423
268,2011-09-25,4,0,9,0,Monday,0,Few clouds,22.440016,0.572637,5098.31700625,0.0503792,5010
269,2011-09-26,4,0,9,0,Tuesday,1,Few clouds,23.160016,0.589042,5179.2329524135,0.1107,4630
270,2011-09-27,4,0,9,0,Wednesday,1,Few clouds,22.560016,0.574525,6145.98399127494,0.118171,4120
271,2011-09-28,4,0,9,0,Thursday,1,Few clouds,22.48,0.575158,5189.42391799317,0.148629,3907
272,2011-09-29,4,0,9,0,Friday,1,Clear,21.600016,0.574512,2389.59162415715,0.172883,4839
273,2011-09-30,4,0,9,0,Saturday,1,Clear,19.080016,0.544829,1757.75803164062,0.206475,5202
274,2011-10-01,4,0,10,0,Sunday,0,Few clouds,11.68,0.412863,3227.81994338379,0.292296,2429
275,2011-10-02,4,0,10,0,Monday,0,Few clouds,9.120016,0.345317,3927.98814525881,0.222013,2918
276,2011-10-03,4,0,10,0,Tuesday,1,Few clouds,10.440016,0.392046,3350.86834531349,0.0833458,3570
277,2011-10-04,4,0,10,0,Wednesday,1,Clear,15.240016,0.472858,2541.1681,0.205854,4456
278,2011-10-05,4,0,10,0,Thursday,1,Clear,17.839984,0.527138,1762.29050103886,0.17725,4826
279,2011-10-06,4,0,10,0,Friday,1,Clear,15.720016,0.480425,1485.59070715535,0.134954,4765
280,2011-10-07,4,0,10,0,Saturday,1,Clear,16.519984,0.504404,2191.03084057632,0.0223917,4985
281,2011-10-08,4,0,10,0,Sunday,0,Clear,17.040016,0.513242,2418.19599221191,0.0454042,5409
282,2011-10-09,4,0,10,0,Monday,0,Clear,17.959984,0.523983,2801.12178164063,0.06345,5511
283,2011-10-10,4,0,10,1,Tuesday,0,Clear,19.399984,0.542925,2898.62782619629,0.0423042,5117
284,2011-10-11,4,0,10,0,Wednesday,1,Few clouds,19.200016,0.546096,4278.16149611816,0.143042,4563
285,2011-10-12,4,0,10,0,Thursday,1,Partialy cloudy,18.079984,0.517717,6745.15724182129,0.24815,2416
286,2011-10-13,4,0,10,0,Friday,1,Few clouds,20.280016,0.551804,6464.3482803061,0.141787,2913
287,2011-10-14,4,0,10,0,Saturday,1,Few clouds,18.439984,0.529675,2631.83428322754,0.223883,3644
288,2011-10-15,4,0,10,0,Sunday,0,Clear,16.320016,0.498725,545.740006853409,0.258083,5217
289,2011-10-16,4,0,10,0,Monday,0,Clear,16.560016,0.503154,560.954445500838,0.281717,5041
290,2011-10-17,4,0,10,0,Tuesday,1,Clear,17.640016,0.510725,1128.39863993361,0.175379,4570
291,2011-10-18,4,0,10,0,Wednesday,1,Few clouds,17.56,0.522721,2423.95306912125,0.110087,4748
292,2011-10-19,4,0,10,0,Thursday,1,Partialy cloudy,18.003472,0.513848,6422.63561259881,0.243339,2424
293,2011-10-20,4,0,10,0,Friday,1,Clear,14.839984,0.466525,1638.74425197754,0.422275,4195
294,2011-10-21,4,0,10,0,Saturday,1,Clear,12.52,0.423596,1086.80821360863,0.221396,4304
295,2011-10-22,4,0,10,0,Sunday,0,Clear,12.28,0.425492,1566.98104367162,0.0926667,4308
296,2011-10-23,4,0,10,0,Monday,0,Clear,12.240016,0.422333,3018.97019533691,0.0995125,4381
297,2011-10-24,4,0,10,0,Tuesday,1,Clear,14.239984,0.457067,3553.49705975304,0.118792,4187
298,2011-10-25,4,0,10,0,Wednesday,1,,14.640016,0.463375,1505.63857632655,0.166658,4687
299,2011-10-26,4,0,10,0,Thursday,1,Few clouds,15.240016,0.472846,2693.6167873721,0.148642,3894
300,2011-10-27,4,0,10,0,Friday,1,Few clouds,14.56,0.457046,4367.01640171029,0.197763,2659
301,2011-10-28,4,0,10,0,Saturday,1,Few clouds,7.879984,0.318812,1177.86448589502,0.229479,3747
302,2011-10-29,4,0,10,0,Sunday,0,Partialy cloudy,4.200016,0.227913,6065.39175039062,0.351371,627
303,2011-10-30,4,0,10,0,Monday,0,Clear,7.320016,0.321329,1513.70844729004,0.176617,3331
304,2011-10-31,4,0,10,0,Tuesday,1,Clear,8.32,0.356063,2447.05639929663,0.10635,3669
305,2011-11-01,4,0,11,0,Wednesday,1,Clear,11.239984,0.397088,2185.69398635254,0.135571,4068
306,2011-11-02,4,0,11,0,Thursday,1,Clear,10.12,0.390133,2668.77174377441,0.0820917,4186
307,2011-11-03,4,0,11,0,Friday,1,Clear,11.599984,0.405921,2429.70657658622,0.136817,3974
308,2011-11-04,4,0,11,0,Saturday,1,Few clouds,11.359984,0.403392,1501.61093789063,0.271779,4046
309,2011-11-05,4,0,11,0,Sunday,0,Clear,55.680016,0.323854,726.487787077353,0.189062,3926
310,2011-11-06,4,0,11,0,Monday,0,Clear,8.719984,0.362358,2911.81309001456,0.0920542,3649
311,2011-11-07,4,0,11,0,Tuesday,1,Clear,10.96,0.400871,3314.32289064941,0.057225,4035
312,2011-11-08,4,0,11,0,Wednesday,1,Clear,11.599984,0.412246,2712.36034469403,0.0690375,4205
313,2011-11-09,4,0,11,0,Thursday,1,Clear,11.2,0.409079,3307.0428447492,0.0621958,4109
314,2011-11-10,4,0,11,0,Friday,1,Few clouds,10.24,0.373721,4375.96232751848,0.189067,2933
315,2011-11-11,4,0,11,1,Saturday,0,Clear,7.560016,0.306817,396.563662133789,0.314675,3368
316,2011-11-12,4,0,11,0,Sunday,0,Clear,9.120016,0.357942,934.630118108804,0.212062,4067
317,2011-11-13,4,0,11,0,Monday,0,Clear,13.159984,0.43055,441.29043113566,0.281721,3717
318,2011-11-14,4,0,11,0,Tuesday,1,Clear,17.44,0.524612,1187.94960989754,0.306596,4486
319,2011-11-15,4,0,11,0,Wednesday,1,Few clouds,17.44,0.507579,2250.33123049316,0.199633,4195
320,2011-11-16,4,0,11,0,Thursday,1,Partialy cloudy,13.920016,0.451988,7480.5201,0.136829,1817
321,2011-11-17,4,0,11,0,Friday,1,Few clouds,8.400016,0.323221,1099.47712894707,0.305362,3053
322,2011-11-18,4,0,11,0,Saturday,1,Clear,5.160016,,282.5761,0.168533,3392
323,2011-11-19,4,0,11,0,Sunday,0,Clear,7.800016,0.324483,635.480264281375,0.224496,3663
324,2011-11-20,4,0,11,0,Monday,0,Few clouds,14.239984,0.457058,2196.36462884244,0.18595,3520
325,2011-11-21,4,0,11,0,Tuesday,1,Partialy cloudy,13.48,0.445062,6857.4961,0.138054,2765
326,2011-11-22,4,0,11,0,Wednesday,1,Partialy cloudy,12.000016,0.421696,8582.28540039063,0.118792,1607
327,2011-11-23,4,0,11,0,Thursday,1,Few clouds,13.159984,0.430537,3299.79221365311,0.335825,2566
328,2011-11-24,4,0,11,1,Friday,0,Clear,9.919984,0.372471,909.531466373954,0.167304,1495
329,2011-11-25,4,0,11,0,Saturday,1,,10,0.380671,1717.39015197754,0.0988958,2792
330,2011-11-26,4,0,11,0,Sunday,0,,10.039984,0.385087,2159.18114933514,0.0684208,3068
331,2011-11-27,4,0,11,0,Monday,0,Clear,14.040016,0.4558,2378.2103297064,0.208954,3071
332,2011-11-28,4,0,11,0,Tuesday,1,Clear,16.166944,0.490122,3048.28654179672,0.142122,3867
333,2011-11-29,4,0,11,0,Wednesday,1,Few clouds,13.999984,0.451375,4764.91274324266,0.258092,2914
334,2011-11-30,4,0,11,0,Thursday,1,Clear,7.6,0.311221,1415.09412864251,0.271158,3613
335,2011-12-01,4,0,12,0,Friday,1,Clear,7,0.305554,757.280632291894,0.220158,3727
336,2011-12-02,4,0,12,0,Saturday,1,Clear,7.080016,0.331433,1534.02994935349,0.100754,3940
337,2011-12-03,4,0,12,0,Sunday,0,Clear,6.360016,0.310604,1411.2588188783,0.0957833,3614
338,2011-12-04,4,0,12,0,Monday,0,Clear,7.879984,0.3491,3623.03886957295,0.0839583,3485
339,2011-12-05,4,0,12,0,Tuesday,1,Few clouds,10.519984,0.393925,4679.46687594369,0.0622083,3811
340,2011-12-06,4,0,12,0,Wednesday,1,Partialy cloudy,14.2,0.4564,8130.77089833421,0.232583,2594
341,2011-12-07,4,0,12,0,Thursday,1,Partialy cloudy,11.68,0.400246,8868.16130518336,0.266175,705
342,2011-12-08,4,0,12,0,Friday,1,Clear,52.759984,0.256938,1131.6496,0.240058,3322
343,2011-12-09,4,0,12,0,Saturday,1,Clear,5.959984,0.317542,2344.33723540253,0.0827167,3620
344,2011-12-10,4,0,12,0,Sunday,0,Clear,5.2,0.266412,663.352219140625,0.233221,3190
345,2011-12-11,4,0,12,0,Monday,0,Clear,2.599984,0.253154,576.4801,0.0665417,2743
346,2011-12-12,4,0,12,0,Tuesday,1,Clear,3.439984,0.270196,2025.1522278618,0.06345,3310
347,2011-12-13,4,0,12,0,Wednesday,1,Clear,5.56,0.301138,1211.7361,0.14055,3523
348,2011-12-14,4,0,12,0,Thursday,1,Few clouds,7.24,0.338362,1940.96693166504,0.0609583,3740
349,2011-12-15,4,0,12,0,Friday,1,Few clouds,12.28,0.412237,1617.38926398189,0.268042,3709
350,2011-12-16,4,0,12,0,Saturday,1,Few clouds,10,0.359825,627.087609785537,0.260575,3577
351,2011-12-17,4,0,12,0,Sunday,0,Few clouds,4.399984,0.249371,989.314194287653,0.243167,2739
352,2011-12-18,4,0,12,0,Monday,0,Clear,3.439984,0.245579,1181.22171682129,0.169779,2431
353,2011-12-19,4,0,12,0,Tuesday,1,Clear,5.280016,0.280933,1651.66040039063,0.172896,3403
354,2011-12-20,4,0,12,0,Wednesday,1,Few clouds,10.519984,0.396454,1256.85425815427,0.0615708,3750
355,2011-12-21,1,0,12,0,Thursday,1,Few clouds,12.559984,0.428017,5427.79254262065,0.2214,2660
356,2011-12-22,1,0,12,0,Friday,1,Few clouds,12.319984,0.426121,3292.53612539062,0.047275,3068
357,2011-12-23,1,0,12,0,Saturday,1,Clear,9.919984,0.377513,2217.83600588379,0.274246,2209
358,2011-12-24,1,0,12,0,Sunday,0,Clear,6.52,0.299242,866.161687890625,0.190304,1011
359,2011-12-25,1,0,12,0,Monday,0,Clear,5.189584,0.279961,2154.58560980213,0.155091,754
360,2011-12-26,1,0,12,1,Tuesday,0,Clear,7.443472,0.315535,660.517755515444,0.239465,1317
361,2011-12-27,1,0,12,0,Wednesday,1,Few clouds,7.6,0.327633,3380.33227539063,0.18845,1162
362,2011-12-28,1,0,12,0,Thursday,1,Clear,6.35824,0.279974,644.795874162832,0.293961,2302
363,2011-12-29,1,0,12,0,Friday,1,Clear,3.919984,0.263892,1086.80821360863,0.119412,2423
364,2011-12-30,1,0,12,0,Saturday,1,Clear,6.960016,0.318812,1643.04462734641,0.134337,2999
365,2011-12-31,1,0,12,0,Sunday,0,Clear,11.68,0.414121,1438.30777829887,0.220154,2485
366,2012-01-01,1,1,1,0,Monday,0,Clear,9.76,0.375621,2299.74196914063,0.192167,2294
367,2012-01-02,1,1,1,1,Tuesday,0,Clear,5.106064,0.252304,211.390489656744,0.329665,1951
368,2012-01-03,1,1,1,0,Wednesday,1,Clear,-0.800000000000001,0.126275,379.086984399414,0.365671,2236
369,2012-01-04,1,1,1,0,Thursday,1,Few clouds,-2.84,0.119337,295.424126033589,0.1847,2368
370,2012-01-05,1,1,1,0,Friday,1,,4.759984,0.278412,754.881361180953,0.129987,3272
371,2012-01-06,1,1,1,0,Saturday,1,Clear,8.040016,0.340267,863.501609088968,0.167908,4098
372,2012-01-07,1,1,1,0,Sunday,0,Clear,10.879984,0.390779,799.022152039477,0.174758,4521
373,2012-01-08,1,1,1,0,Monday,0,Clear,8.2,0.340258,467.53250625,0.191542,3425
374,2012-01-09,1,1,1,0,Tuesday,1,Few clouds,2.760016,0.247479,2423.95306912125,0.0989,2376
375,2012-01-10,1,1,1,0,Wednesday,1,Clear,6.817408,0.318826,1747.16222347179,0.187552,3598
376,2012-01-11,1,1,1,0,Thursday,1,Few clouds,5.160016,0.282821,5158.92040664062,0.131221,2177
377,2012-01-12,1,1,1,0,Friday,1,Few clouds,10.36,0.381938,4156.06769631535,0.180967,4097
378,2012-01-13,1,1,1,0,Saturday,1,Clear,5.160016,0.249362,663.352219140625,0.378108,3214
379,2012-01-14,1,1,1,0,Sunday,0,Clear,0.640000000000001,0.183087,438.091062890625,0.187183,2493
380,2012-01-15,1,1,1,0,Monday,0,Clear,1.60000000004601E-05,0.161625,308.708322255431,0.251258,2311
381,2012-01-16,1,1,1,1,Tuesday,0,Clear,1.12,0.190663,745.324125390625,0.231358,2298
382,2012-01-17,1,1,1,0,Wednesday,1,Few clouds,9.906064,0.364278,2629.43935089854,0.34913,2935
383,2012-01-18,1,1,1,0,Thursday,1,Clear,6.559984,0.275254,386.296024625014,0.415429,3376
384,2012-01-19,1,1,1,0,Friday,1,Clear,1.12,0.190038,612.593437890625,0.220158,3292
385,2012-01-20,1,1,1,0,Saturday,1,Few clouds,2.44,0.220958,410.0625,0.20275,3163
386,2012-01-21,1,1,1,0,Sunday,0,Few clouds,0.319984,0.174875,4774.48609924316,0.222642,1301
387,2012-01-22,1,1,1,0,Monday,0,Few clouds,-0.199999999999999,0.16225,4019.73831447754,0.199638,1977
388,2012-01-23,1,1,1,0,Tuesday,1,Few clouds,2.479984,0.243058,6895.25235549317,0.110708,2432
389,2012-01-24,1,1,1,0,Wednesday,1,Clear,8.44,0.349108,4880.65438676082,0.123767,4339
390,2012-01-25,1,1,1,0,Thursday,1,Clear,6.120016,0.294821,1717.39015197754,0.161071,4270
391,2012-01-26,1,1,1,0,Friday,1,Few clouds,8.400016,0.35605,3507.69531325423,0.0733958,4075
392,2012-01-27,1,1,1,0,Saturday,1,Few clouds,12.4,0.415383,3018.97019533691,0.342667,3456
393,2012-01-28,1,1,1,0,Sunday,0,Clear,7.159984,0.326379,871.493862596042,0.210829,4023
394,2012-01-29,1,1,1,0,Monday,0,Clear,5.56,0.272721,93.8506836181641,0.24005,3243
395,2012-01-30,1,1,1,0,Tuesday,1,Clear,4.920016,0.262625,258.139150587367,0.215792,3624
396,2012-01-31,1,1,1,0,Wednesday,1,Clear,10.72,0.381317,301.409143519676,0.261817,4509
397,2012-02-01,1,1,2,0,Thursday,1,Clear,14.520016,0.466538,665.535147196715,0.189067,4579
398,2012-02-02,1,1,2,0,Friday,1,Few clouds,11.160016,0.398971,2050.43497116784,0.187187,3761
399,2012-02-03,1,1,2,0,Saturday,1,Clear,7.039984,0.309346,769.386263859627,0.178496,4151
400,2012-02-04,1,1,2,0,Sunday,0,Few clouds,4.680016,0.272725,3693.59641802199,0.121896,2832
401,2012-02-05,1,1,2,0,Monday,0,Few clouds,4.759984,0.264521,2239.46442556523,0.175996,2947
402,2012-02-06,1,1,2,0,Tuesday,1,Clear,5.565232,0.296426,1498.46786475116,0.1538,3784
403,2012-02-07,1,1,2,0,Wednesday,1,Clear,9.000016,0.361104,606.459884790039,0.147379,4375
404,2012-02-08,1,1,2,0,Thursday,1,Few clouds,4.320016,0.266421,2731.20155267583,0.133721,2802
405,2012-02-09,1,1,2,0,Friday,1,Clear,4.72,0.261988,998.163768292773,0.194037,3830
406,2012-02-10,1,1,2,0,Saturday,1,Few clouds,5.479984,0.293558,850.3056,0.116929,3831
407,2012-02-11,1,1,2,0,Sunday,0,Partialy cloudy,2.760016,0.210867,2859.32496643066,0.289796,2169
408,2012-02-12,1,1,2,0,Monday,0,Clear,-1.88,0.101658,465.857676505526,0.409212,1529
409,2012-02-13,1,1,2,0,Tuesday,1,Clear,2.68,0.227913,286.037941430664,0.167283,3422
410,2012-02-14,1,1,2,0,Wednesday,1,Few clouds,7.320016,0.333946,669.911894555664,0.141179,3922
411,2012-02-15,1,1,2,0,Thursday,1,Clear,8.719984,0.351629,796.518325805664,0.1816,4169
412,2012-02-16,1,1,2,0,Friday,1,Few clouds,7.200016,0.330162,3213.57479534064,0.091425,3005
413,2012-02-17,1,1,2,0,Saturday,1,Clear,8.479984,0.351629,1621.63733283703,0.205846,4154
414,2012-02-18,1,1,2,0,Sunday,0,Clear,8.640016,0.355425,816.696276326293,0.190929,4318
415,2012-02-19,1,1,2,0,Monday,0,Few clouds,5.44,0.265788,708.005268319413,0.253112,2689
416,2012-02-20,1,1,2,1,Tuesday,0,Clear,5.44,0.273391,665.058317918183,0.229083,3129
417,2012-02-21,1,1,2,0,Wednesday,1,Clear,5.815648,0.295113,1247.85241116183,0.205717,3777
418,2012-02-22,1,1,2,0,Thursday,1,Clear,10.999984,0.392667,1040.25419566617,0.234471,4773
419,2012-02-23,1,1,2,0,Friday,1,Clear,13.800016,0.444446,945.945707735096,0.190913,5062
420,2012-02-24,1,1,2,0,Saturday,1,Few clouds,11.56,0.410971,2958.34008789063,0.237567,3487
421,2012-02-25,1,1,2,0,Sunday,0,Clear,5.959984,0.255675,245.498018664239,0.421642,2732
422,2012-02-26,1,1,2,0,Monday,0,Clear,5.400016,0.268308,282.5761,0.205229,3389
423,2012-02-27,1,1,2,0,Tuesday,1,Clear,9.600016,0.357954,580.410172178736,0.268033,4322
424,2012-02-28,1,1,2,0,Wednesday,1,Clear,9.240016,0.353525,245.498018664239,0.193417,4363
425,2012-02-29,1,1,2,0,Thursday,1,Few clouds,8.528704,0.34847,4194.83782692695,0.179117,1834
426,2012-03-01,1,1,3,0,Friday,1,Clear,15.319984,0.475371,1434.42536187911,0.226987,4990
427,2012-03-02,1,1,3,0,Saturday,1,Few clouds,8.959984,0.359842,1864.15030050758,0.144904,3194
428,2012-03-03,1,1,3,0,Sunday,0,Few clouds,11.880016,0.413492,1489.58608596191,0.161079,4066
429,2012-03-04,1,1,3,0,Monday,0,Clear,7.639984,0.303021,264.639718983307,0.334571,3423
430,2012-03-05,1,1,3,0,Tuesday,1,Clear,3.679984,0.241171,656.840835571289,0.228858,3333
431,2012-03-06,1,1,3,0,Wednesday,1,Clear,4.399984,0.255042,434.909122891761,0.200875,3956
432,2012-03-07,1,1,3,0,Thursday,1,Clear,11.400016,0.3851,694.37925320472,0.345779,4916
433,2012-03-08,1,1,3,0,Friday,1,Clear,17.32,0.524604,1037.20228164063,0.441563,5382
434,2012-03-09,1,1,3,0,Saturday,1,Few clouds,11.719984,0.397083,274.619812043427,0.4148,4569
435,2012-03-10,1,1,3,0,Sunday,0,Clear,5.8,0.277767,150.778934099616,0.22575,4118
436,2012-03-11,1,1,3,0,Monday,0,Clear,9.363472,0.35967,517.50780975779,0.222587,4911
437,2012-03-12,1,1,3,0,Tuesday,1,Clear,14.400016,0.459592,572.570020160762,0.207713,5298
438,2012-03-13,1,1,3,0,Wednesday,1,Clear,19.12,0.542929,1453.94456289063,0.23695,5847
439,2012-03-14,1,1,3,0,Thursday,1,Clear,19.48,0.548617,661.174665428989,0.115062,6312
440,2012-03-15,1,1,3,0,Friday,1,Clear,18.76,0.532825,1128.39863993361,0.149883,6192
441,2012-03-16,1,1,3,0,Saturday,1,,12.919984,0.436229,5028.2816923466,0.113192,4378
442,2012-03-17,1,1,3,0,Sunday,0,Few clouds,16.680016,0.505046,3263.64864667034,0.110704,7836
443,2012-03-18,1,1,3,0,Monday,0,Few clouds,14.68,0.464,4304.6721,0.126883,5892
444,2012-03-19,1,1,3,0,Tuesday,1,Clear,18.16,0.532821,2820.42315236816,0.162317,6153
445,2012-03-20,1,1,3,0,Wednesday,1,Clear,18.919984,0.538533,4260.56294794449,0.121271,6093
446,2012-03-21,2,1,3,0,Thursday,1,Few clouds,17.520016,0.513258,4548.84910158692,0.0895583,6230
447,2012-03-22,2,1,3,0,Friday,1,Clear,18.600016,0.531567,4774.48609924316,0.117562,6871
448,2012-03-23,2,1,3,0,Saturday,1,Few clouds,20.880016,0.570067,2321.9659969952,0.1163,8362
449,2012-03-24,2,1,3,0,Sunday,0,Few clouds,16.12,0.486733,6145.98399127494,0.192783,3372
450,2012-03-25,2,1,3,0,Monday,0,Few clouds,13,0.437488,6019.69250824925,,4996
451,2012-03-26,2,1,3,0,Tuesday,1,Clear,13.399984,0.43875,521.686882022004,0.386821,5558
452,2012-03-27,2,1,3,0,Wednesday,1,Clear,7.519984,0.315654,70.7281,0.187192,5102
453,2012-03-28,2,1,3,0,Thursday,1,Clear,15.240016,0.47095,536.392837524414,0.291671,5698
454,2012-03-29,2,1,3,0,Friday,1,Clear,15.720016,,371.979319166471,0.31965,6133
455,2012-03-30,2,1,3,0,Saturday,1,,9.76,0.375621,1138.16475071021,0.138067,5459
456,2012-03-31,2,1,3,0,Sunday,0,,12.360016,0.421708,2971.72842981493,0.250617,6235
457,2012-04-01,2,1,4,0,Monday,0,Few clouds,12.439984,0.417287,2091.36151760254,0.172267,6041
458,2012-04-02,2,1,4,0,Tuesday,1,Clear,12.827824,0.427513,647.025224121874,0.312139,5936
459,2012-04-03,2,1,4,0,Wednesday,1,Clear,14.400016,0.461483,247.573574153641,0.100133,6772
460,2012-04-04,2,1,4,0,Thursday,1,Clear,18.000016,0.53345,486.238635721888,0.180975,6436
461,2012-04-05,2,1,4,0,Friday,1,Clear,12.88,0.431163,196.002642898109,0.219529,6457
462,2012-04-06,2,1,4,0,Saturday,1,Clear,,0.390767,202.184479507784,0.300388,6460
463,2012-04-07,2,1,4,0,Sunday,0,Clear,13,0.426129,41.732716152051,0.274871,6857
464,2012-04-08,2,1,4,0,Monday,0,Clear,16,0.492425,57.8875130092572,0.232596,5169
465,2012-04-09,2,1,4,0,Tuesday,1,Clear,15.480016,0.476638,101.619000390625,0.358196,5585
466,2012-04-10,2,1,4,0,Wednesday,1,Clear,13.440016,,358.06100625,,5918
467,2012-04-11,2,1,4,0,Thursday,1,Clear,8.737408,0.337274,486.164086241026,0.295274,4862
468,2012-04-12,2,1,4,0,Friday,1,Clear,11.08,0.387604,472.580044946289,0.290429,5409
469,2012-04-13,2,1,4,0,Saturday,1,Clear,13.24,0.431808,278.008399700186,0.155471,6398
470,2012-04-14,2,1,4,0,Sunday,0,Clear,15.76,0.487996,639.713130467596,0.190917,7460
471,2012-04-15,2,1,4,0,Monday,0,Clear,21.120016,0.573875,665.535147196715,0.225129,7132
472,2012-04-16,2,1,4,1,Tuesday,0,Clear,23.880016,0.614925,995.212066298585,0.284829,6370
473,2012-04-17,2,1,4,0,Wednesday,1,Clear,21.199984,0.598487,232.335128962499,0.273629,6691
474,2012-04-18,2,1,4,0,Thursday,1,Few clouds,14.239984,0.457038,1049.44298273836,0.167912,4367
475,2012-04-19,2,1,4,0,Friday,1,Clear,15.919984,0.493046,1407.42211914063,0.0659292,6565
476,2012-04-20,2,1,4,0,Saturday,1,Clear,17.280016,0.515775,2327.53702818353,0.149871,7290
477,2012-04-21,2,1,4,0,Sunday,0,Clear,19.36,0.542921,2175.0622722161,0.283587,6624
478,2012-04-22,2,1,4,0,Monday,0,Partialy cloudy,11.040016,0.389504,4870.94509341267,0.344546,1027
479,2012-04-23,2,1,4,0,Tuesday,1,Few clouds,7.440016,0.301125,3454.83316889281,0.303496,3214
480,2012-04-24,2,1,4,0,Wednesday,1,Clear,11.839984,0.405283,425.463491662255,0.249383,5633
481,2012-04-25,2,1,4,0,Thursday,1,Clear,14.880016,0.470317,335.303557130846,0.118792,6196
482,2012-04-26,2,1,4,0,Friday,1,Few clouds,15.919984,0.483583,3278.07718498308,0.176625,5026
483,2012-04-27,2,1,4,0,Saturday,1,Clear,13.96,0.452637,258.139150587367,0.347633,6233
484,2012-04-28,2,1,4,0,Sunday,0,Few clouds,10.080016,0.377504,574.520218304007,0.129975,4220
485,2012-04-29,2,1,4,0,Monday,0,Clear,13.999984,0.450121,1187.94960989754,0.116908,6304
486,2012-04-30,2,1,4,0,Tuesday,1,Few clouds,14.280016,0.457696,1055.6001,0.171638,5572
487,2012-05-01,2,1,5,0,Wednesday,1,Few clouds,21.439984,0.577021,1892.6827095689,0.156096,5740
